HANDLE	BLOCKNAME	TYPE	AREA	MEDIUM
'1A606	Tag_manual1	FI-01	P04	M09
'1A442	tag automat	LT-01	P05	M09
'1A43C	tag automat	LLT-01	P05	M09
'1A394	tag automat	CIT-01	P04	M09
'1A388	Tag_manual1	MBV-01	P00	M03
'1A37F	Tag_manual1	MBV-02	P00	M09
'1A378	Tag_manual1	MBV-01	P00	M09
'1A104	Tag_manual1	CV-01	P04	M01
'1A0E3	Tag_manual1	CV-01	P04	M09
'1A0D3	Tag_manual1	MRV-01	P04	M09
'1A0C6	Tag_manual1	PI-01	P04	M09
'1A0BF	Tag_manual1	MRV-01	P04	M01
'1A0B2	Tag_manual1	PI-01	P04	M01
'1A09E	Tag_manual1	MBV-09	P04	M01
'1A097	Tag_manual1	MBV-03	P04	M09
'19EF6	Tag_manual1	MBV-05	P03	M09
'19E30	tag automat	PIT-01	P04	M01
'19E19	tag automat	CCT-01	P04	M01
'19B3E	Tag_manual1	SB-01	P03	M03
'199FB	Tag_automatic	PHT-01	P04	M03
'19893	Tag_automatic	CCT-01	P03	M03
'19889	Tag_automatic	AKV-01	P03	M03
'197B2	Tag_manual1	MKV-01	P03	M03
'1964A	Tag_automatic	P-01	P03	M09
'18F99	tag automat	PIT-01	P05	M09
'18F8B	Tag_manual1	PI-02	P05	M09
'18F7E	Tag_manual1	MSV-01	P03	M03
'18F1A	Tag_manual1	MBV-04	P00	M09
'18D89	tag automat	CCT-02	P03	M03
'18D84	tag automat	AKV-02	P03	M03
'18D7C	tag automat	CCT-04	P03	M03
'18D77	tag automat	AKV-03	P03	M03
'18D62	tag automat	PIT-01	P03	M09
'18D51	Tag_manual1	MBV-07	P03	M09
'18D4A	Tag_manual1	FLT-01	P03	M09
'18D44	tag automat	P-02	P03	M09
'18CF5	Tag_manual1	MBV-01	P03	M09
'18A47	tag automat	P-01	P03	M03
'189E1	tag automat	LT-01	P03	M03
'189D4	Tag_manual1	T-01	P03	M03
'189CC	tag automat	LLT-01	P03	M03
'189C7	tag automat	HLT-01	P03	M03
'1895E	Tag_manual1	T-01	P04	M02
'1881C	tag automat	HLT-03	P06	M03
'1880F	tag automat	LLT-03	P06	M03
